哀咕 ai'gu
街里 jie'li
街上 jie'shang
尽当间儿 jin'dang'jian'er
尽底下 jin'di'xia
尽顶上 jin'ding'shang
今儿 jin'er
今儿个 jin'er'ge
尽后边儿 jin'hou'bian'er
尽后尾儿 jin'hou'yi'er
禁霍霍 jin'huo'huo
劲劲儿 jin'jin'er
尽里头 jin'li'tou
尽前边儿 jin'qian'bian'er
金钳子 jin'qian'zi
尽头前儿 jin'tou'qian'er
尽外头 jin'wai'tou
井裙子 jing'qun'zi
井台儿 jing'tai'er
韭菜花儿 jiu'cai'hua'er
韭菜恰子 jiu'cai'qia'zi
酒气味儿 jiu'qi'wei'er
酒咬儿 jiu'yao'er
举架儿 ju'jia'er
撅嗒杆儿 jue'da'gan'er
撅嗒钩儿 jue'da'gou'er
撅尾巴茶 jue'wei'ba'cha
撅子 jue'zi
撅嘴儿骡子 jue'zui'er'luo'zi
卡吧裆 ka'ba'dang
卡倒 ka'dao
卡针儿 ka'zhen'er
卡拽了 ka'zhuai'le
开裆裤 kai'dang'ku
开綮儿 kai'qing'er
炕巴儿 kang'ba'er
炕洞子 kang'dong'zi
炕狗儿 kang'gou'er
抗霍霍 kang'huo'huo
炕面子 kang'mian'zi
炕梢儿 kang'shao'er
炕头儿 kang'tou'er
炕沿 kang'yan
砢碜 ke'chen
磕碜 ke'chen
可劲儿造 ke'jin'er'zao
可劲造 ke'jin'zao
坷垃 ke'la
壳郎 ke'lang
壳娄 ke'lou
骒骡儿 ke'luo'er
骒骡子 ke'luo'zi
克山红 ke'shan'hong
嗑丝钳子 ke'si'qian'zi
可真有闹 ke'zhen'you'nao
吭吃瘪肚 keng'chi'bie'du
吭哧瘪肚 keng'chi'bie'du
吭哧鳖肚 keng'chi'bie'du
坑吃瘪肚 keng'chi'bie'du
扣鼻儿 kou'bi'er
抠兜儿 kou'dou'er
